chamber,party,type,name,gender,bioid,screen_name,phi,merge
rep,Democrat,Congress,Anna G. Eshoo,F,E000215,RepAnnaEshoo,-0.62397,repannaeshoo
rep,Democrat,Congress,Zoe Lofgren,F,L000397,RepZoeLofgren,-0.61884,repzoelofgren
rep,Democrat,Congress,Carol Shea-Porter,F,S001170,RepSheaPorter,-0.5994,repsheaporter
rep,Democrat,Congress,Linda T. Sánchez,F,S001156,RepLindaSanchez,-0.59283,replindasanchez
rep,Democrat,Congress,Colleen Hanabusa,F,H001050,RepHanabusa,-0.58261,rephanabusa
rep,Democrat,Congress,Nita M. Lowey,F,L000480,NitaLowey,-0.57183,nitalowey
rep,Democrat,Congress,Julia Brownley,F,B001285,JuliaBrownley26,-0.5531,juliabrownley26
rep,Democrat,Congress,Diana DeGette,F,D000197,RepDianaDeGette,-0.53007,repdianadegette
rep,Democrat,Congress,Susan A. Davis,F,D000598,RepSusanDavis,-0.52811,repsusandavis
rep,Democrat,Congress,Grace F. Napolitano,F,N000179,gracenapolitano,-0.52066,gracenapolitano
rep,Democrat,Congress,Kathy Castor,F,C001066,USRepKCastor,-0.51266,usrepkcastor
rep,Democrat,Congress,Doris O. Matsui,F,M001163,DorisMatsui,-0.50019,dorismatsui
rep,Democrat,Congress,Eddie Bernice Johnson,F,J000126,RepEBJ,-0.49982,repebj
rep,Democrat,Congress,Alma S. Adams,F,A000370,RepAdams,-0.49229,repadams
rep,Democrat,Congress,Lucille Roybal-Allard,F,R000486,RepRoybalAllard,-0.48946,reproybalallard
rep,Democrat,Congress,Marcy Kaptur,F,K000009,RepMarcyKaptur,-0.39373,repmarcykaptur
rep,Democrat,Congress,Lisa Blunt Rochester,F,B001303,RepLBR,-0.16252,replbr
rep,Republican,Congress,Martha McSally,F,M001197,RepMcSally,-0.14233,repmcsally
rep,Republican,Congress,Jenniffer González-Colón,F,G000582,RepJenniffer,0.04821,repjenniffer
rep,Republican,Congress,Mia B. Love,F,L000584,RepMiaLove,0.28374,repmialove
rep,Republican,Congress,Ileana Ros-Lehtinen,F,R000435,RosLehtinen,0.41261,roslehtinen
rep,Republican,Congress,Barbara Comstock,F,C001105,RepComstock,0.43563,repcomstock
rep,Republican,Congress,Aumua Amata Coleman Radewagen,F,R000600,RepAmata,0.52649,repamata
rep,Republican,Congress,Mimi Walters,F,W000820,RepMimiWalters,0.54733,repmimiwalters
rep,Republican,Congress,Elise M. Stefanik,F,S001196,RepStefanik,0.56824,repstefanik
rep,Republican,Congress,Jaime Herrera Beutler,F,H001056,HerreraBeutler,0.57095,herrerabeutler
rep,Republican,Congress,Claudia Tenney,F,T000478,RepTenney,0.65944,reptenney
rep,Republican,Congress,Jackie Walorski,F,W000813,RepWalorski,0.693,repwalorski
rep,Republican,Congress,Liz Cheney,F,C001109,RepLizCheney,0.72925,replizcheney
rep,Republican,Congress,Susan W. Brooks,F,B001284,SusanWBrooks,0.79312,susanwbrooks
rep,Republican,Congress,Ann Wagner,F,W000812,RepAnnWagner,0.99065,repannwagner
rep,Republican,Congress,Vicky Hartzler,F,H001053,RepHartzler,1.07646,rephartzler
rep,Republican,Congress,Lynn Jenkins,F,J000290,RepLynnJenkins,1.10143,replynnjenkins
rep,Republican,Congress,Martha Roby,F,R000591,RepMarthaRoby,1.13225,repmartharoby
rep,Republican,Congress,Cathy McMorris Rodgers,F,M001159,cathymcmorris,1.13502,cathymcmorris
rep,Republican,Congress,Virginia Foxx,F,F000450,virginiafoxx,1.167,virginiafoxx
rep,Republican,Congress,Kay Granger,F,G000377,RepKayGranger,1.20227,repkaygranger
rep,Republican,Congress,Diane Black,F,B001273,RepDianeBlack,1.34497,repdianeblack
rep,Republican,Congress,Kristi L. Noem,F,N000184,RepKristiNoem,1.46786,repkristinoem
rep,Republican,Congress,Marsha Blackburn,F,B001243,MarshaBlackburn,1.74334,marshablackburn
rep,Democrat,Congress,John Lewis,M,L000287,repjohnlewis,-1.84574,repjohnlewis
rep,Democrat,Congress,Adam B. Schiff,M,S001150,RepAdamSchiff,-1.77767,repadamschiff
rep,Democrat,Congress,Joseph P. Kennedy III,M,K000379,RepJoeKennedy,-1.76623,repjoekennedy
rep,Democrat,Congress,Eric Swalwell,M,S001193,RepSwalwell,-1.75863,repswalwell
rep,Democrat,Congress,Elijah E. Cummings,M,C000984,RepCummings,-1.74827,repcummings
rep,Democrat,Congress,Ted Lieu,M,L000582,RepTedLieu,-1.71198,reptedlieu
rep,Democrat,Congress,Keith Ellison,M,E000288,keithellison,-1.67481,keithellison
rep,Democrat,Congress,Mark Pocan,M,P000607,repmarkpocan,-1.52484,repmarkpocan
rep,Democrat,Congress,Ruben Gallego,M,G000574,RepRubenGallego,-1.50395,reprubengallego
rep,Democrat,Congress,Joaquin Castro,M,C001091,JoaquinCastrotx,-1.50058,joaquincastrotx
rep,Democrat,Congress,"Donald S. Beyer, Jr.",M,B001292,RepDonBeyer,-1.48307,repdonbeyer
rep,Democrat,Congress,Beto O’Rourke,M,O000170,RepBetoORourke,-1.46238,repbetoorourke
rep,Democrat,Congress,Jamie Raskin,M,R000606,RepRaskin,-1.42886,repraskin
rep,Democrat,Congress,Seth Moulton,M,M001196,teammoulton,-1.37814,teammoulton
rep,Democrat,Congress,Brendan F. Boyle,M,B001296,CongBoyle,-1.33748,congboyle
rep,Democrat,Congress,Mark Takano,M,T000472,RepMarkTakano,-1.30725,repmarktakano
rep,Democrat,Congress,Hakeem S. Jeffries,M,J000294,RepJeffries,-1.28975,repjeffries
rep,Democrat,Congress,Jerrold Nadler,M,N000002,RepJerryNadler,-1.28582,repjerrynadler
rep,Democrat,Congress,James A. Himes,M,H001047,jahimes,-1.28073,jahimes
rep,Democrat,Congress,Ro Khanna,M,K000389,RepRoKhanna,-1.22633,reprokhanna
rep,Democrat,Congress,"Bill Pascrell, Jr.",M,P000096,BillPascrell,-1.21207,billpascrell
rep,Democrat,Congress,Michael E. Capuano,M,C001037,RepMikeCapuano,-1.17905,repmikecapuano
rep,Democrat,Congress,Steve Cohen,M,C001068,RepCohen,-1.17898,repcohen
rep,Democrat,Congress,Timothy J. Walz,M,W000799,RepTimWalz,-1.16732,reptimwalz
rep,Democrat,Congress,David N. Cicilline,M,C001084,RepCicilline,-1.15455,repcicilline
rep,Democrat,Congress,Luis V. Gutiérrez,M,G000535,RepGutierrez,-1.14325,repgutierrez
rep,Democrat,Congress,Sean Patrick Maloney,M,M001185,RepSeanMaloney,-1.14271,repseanmaloney
rep,Democrat,Congress,Raja Krishnamoorthi,M,K000391,CongressmanRaja,-1.12017,congressmanraja
rep,Democrat,Congress,Bill Foster,M,F000454,RepBillFoster,-1.11997,repbillfoster
rep,Democrat,Congress,Adriano Espaillat,M,E000297,RepEspaillat,-1.11409,repespaillat
rep,Democrat,Congress,Theodore E. Deutch,M,D000610,RepTedDeutch,-1.10099,repteddeutch
rep,Democrat,Congress,Jimmy Gomez,M,G000585,RepJimmyGomez,-1.09275,repjimmygomez
rep,Democrat,Congress,James P. McGovern,M,M000312,RepMcGovern,-1.08056,repmcgovern
rep,Democrat,Congress,James E. Clyburn,M,C000537,Clyburn,-1.07167,clyburn
rep,Democrat,Congress,Daniel T. Kildee,M,K000380,RepDanKildee,-1.0042,repdankildee
rep,Democrat,Congress,Anthony G. Brown,M,B001304,RepAnthonyBrown,-1.00181,repanthonybrown
rep,Democrat,Congress,Al Green,M,G000553,RepAlGreen,-0.9903,repalgreen
rep,Democrat,Congress,John A. Yarmuth,M,Y000062,RepJohnYarmuth,-0.98071,repjohnyarmuth
rep,Democrat,Congress,Peter Welch,M,W000800,PeterWelch,-0.95035,peterwelch
rep,Democrat,Congress,Raúl M. Grijalva,M,G000551,RepRaulGrijalva,-0.94922,repraulgrijalva
rep,Democrat,Congress,Mark DeSaulnier,M,D000623,RepDeSaulnier,-0.94252,repdesaulnier
rep,Democrat,Congress,Steny H. Hoyer,M,H000874,WhipHoyer,-0.92913,whiphoyer
rep,Democrat,Congress,Denny Heck,M,H001064,RepDennyHeck,-0.92142,repdennyheck
rep,Democrat,Congress,Ruben J. Kihuen,M,K000390,RepKihuen,-0.91007,repkihuen
rep,Democrat,Congress,Gerald E. Connolly,M,C001078,GerryConnolly,-0.8781,gerryconnolly
rep,Democrat,Congress,Mike Quigley,M,Q000023,RepMikeQuigley,-0.87003,repmikequigley
rep,Democrat,Congress,Alcee L. Hastings,M,H000324,RepHastingsFL,-0.85635,rephastingsfl
rep,Democrat,Congress,John P. Sarbanes,M,S001168,RepSarbanes,-0.81574,repsarbanes
rep,Democrat,Congress,Donald Norcross,M,N000188,DonaldNorcross,-0.81456,donaldnorcross
rep,Democrat,Congress,Derek Kilmer,M,K000381,RepDerekKilmer,-0.81167,repderekkilmer
rep,Democrat,Congress,Stephen F. Lynch,M,L000562,RepStephenLynch,-0.78312,repstephenlynch
rep,Democrat,Congress,Joseph Crowley,M,C001038,repjoecrowley,-0.77889,repjoecrowley
rep,Democrat,Congress,Tim Ryan,M,R000577,RepTimRyan,-0.73653,reptimryan
rep,Democrat,Congress,Richard E. Neal,M,N000015,RepRichardNeal,-0.72911,reprichardneal
rep,Democrat,Congress,John K. Delaney,M,D000620,RepJohnDelaney,-0.72308,repjohndelaney
rep,Democrat,Congress,A. Donald McEachin,M,M001200,RepMcEachin,-0.71476,repmceachin
rep,Democrat,Congress,Tom O’Halleran,M,O000171,RepOHalleran,-0.69959,repohalleran
rep,Democrat,Congress,Dwight Evans,M,E000296,RepDwightEvans,-0.69092,repdwightevans
rep,Democrat,Congress,Cedric L. Richmond,M,R000588,RepRichmond,-0.68056,reprichmond
rep,Democrat,Congress,Sander M. Levin,M,L000263,repsandylevin,-0.67636,repsandylevin
rep,Democrat,Congress,Raul Ruiz,M,R000599,CongressmanRuiz,-0.66764,congressmanruiz
rep,Democrat,Congress,Emanuel Cleaver,M,C001061,repcleaver,-0.66709,repcleaver
rep,Democrat,Congress,William R. Keating,M,K000375,USRepKeating,-0.66662,usrepkeating
rep,Democrat,Congress,"Henry C. ""Hank"" Johnson, Jr.",M,J000288,RepHankJohnson,-0.64739,rephankjohnson
rep,Democrat,Congress,Jared Polis,M,P000598,RepJaredPolis,-0.64707,repjaredpolis
rep,Democrat,Congress,Tony Cárdenas,M,C001097,RepCardenas,-0.63134,repcardenas
rep,Democrat,Congress,Jared Huffman,M,H001068,RepHuffman,-0.6311,rephuffman
rep,Democrat,Congress,Scott H. Peters,M,P000608,RepScottPeters,-0.6305,repscottpeters
rep,Democrat,Congress,Brad Sherman,M,S000344,BradSherman,-0.61851,bradsherman
rep,Democrat,Congress,David E. Price,M,P000523,RepDavidEPrice,-0.61319,repdavideprice
rep,Democrat,Congress,James R. Langevin,M,L000559,JimLangevin,-0.61289,jimlangevin
rep,Democrat,Congress,Peter A. DeFazio,M,D000191,RepPeterDeFazio,-0.60315,reppeterdefazio
rep,Democrat,Congress,"Robert C. ""Bobby"" Scott",M,S000185,BobbyScott,-0.60245,bobbyscott
rep,Democrat,Congress,John B. Larson,M,L000557,RepJohnLarson,-0.60051,repjohnlarson
rep,Democrat,Congress,Salud O. Carbajal,M,C001112,RepCarbajal,-0.59141,repcarbajal
rep,Democrat,Congress,Lloyd Doggett,M,D000399,RepLloydDoggett,-0.58733,replloyddoggett
rep,Democrat,Congress,Rick Larsen,M,L000560,RepRickLarsen,-0.58602,repricklarsen
rep,Democrat,Congress,Adam Smith,M,S000510,RepAdamSmith,-0.57682,repadamsmith
rep,Democrat,Congress,Gregory W. Meeks,M,M001137,RepGregoryMeeks,-0.56086,repgregorymeeks
rep,Democrat,Congress,John Garamendi,M,G000559,RepGaramendi,-0.5474,repgaramendi
rep,Democrat,Congress,Jimmy Panetta,M,P000613,RepJimmyPanetta,-0.54731,repjimmypanetta
rep,Democrat,Congress,Earl Blumenauer,M,B000574,BlumenauerMedia,-0.54513,blumenauermedia
rep,Democrat,Congress,Joe Courtney,M,C001069,RepJoeCourtney,-0.54216,repjoecourtney
rep,Democrat,Congress,Jim Cooper,M,C000754,repjimcooper,-0.52494,repjimcooper
rep,Democrat,Congress,Marc A. Veasey,M,V000131,RepVeasey,-0.50505,repveasey
rep,Democrat,Congress,Darren Soto,M,S001200,RepDarrenSoto,-0.4971,repdarrensoto
rep,Democrat,Congress,G. K. Butterfield,M,B001251,GKButterfield,-0.49579,gkbutterfield
rep,Democrat,Congress,Paul Tonko,M,T000469,RepPaulTonko,-0.49133,reppaultonko
rep,Democrat,Congress,"Frank Pallone, Jr.",M,P000034,FrankPallone,-0.48806,frankpallone
rep,Democrat,Congress,C. A. Dutch Ruppersberger,M,R000576,Call_Me_Dutch,-0.48489,call_me_dutch
rep,Democrat,Congress,José E. Serrano,M,S000248,RepJoseSerrano,-0.4785,repjoseserrano
rep,Democrat,Congress,Ben Ray Luján,M,L000570,repbenraylujan,-0.47455,repbenraylujan
rep,Democrat,Congress,Richard M. Nolan,M,N000127,USRepRickNolan,-0.47319,usrepricknolan
rep,Democrat,Congress,André Carson,M,C001072,RepAndreCarson,-0.46884,repandrecarson
rep,Democrat,Congress,Pete Aguilar,M,A000371,RepPeteAguilar,-0.46417,reppeteaguilar
rep,Democrat,Congress,Ami Bera,M,B001287,RepBera,-0.45686,repbera
rep,Democrat,Congress,Danny K. Davis,M,D000096,RepDannyDavis,-0.4421,repdannydavis
rep,Democrat,Congress,Juan Vargas,M,V000130,RepJuanVargas,-0.42809,repjuanvargas
rep,Democrat,Congress,Bobby L. Rush,M,R000515,RepBobbyRush,-0.42003,repbobbyrush
rep,Democrat,Congress,Alan S. Lowenthal,M,L000579,RepLowenthal,-0.40864,replowenthal
rep,Democrat,Congress,Bradley Scott Schneider,M,S001190,RepSchneider,-0.40664,repschneider
rep,Republican,Congress,Steve Scalise,M,S001176,SteveScalise,-0.40641,stevescalise
rep,Democrat,Congress,Mike Thompson,M,T000460,RepThompson,-0.39684,repthompson
rep,Democrat,Congress,Thomas R. Suozzi,M,S001201,RepTomSuozzi,-0.39028,reptomsuozzi
rep,Democrat,Congress,Eliot L. Engel,M,E000179,RepEliotEngel,-0.3403,repeliotengel
rep,Democrat,Congress,Charlie Crist,M,C001111,RepCharlieCrist,-0.31693,repcharliecrist
rep,Democrat,Congress,Bennie G. Thompson,M,T000193,BennieGThompson,-0.31418,benniegthompson
rep,Democrat,Congress,"Donald M. Payne, Jr.",M,P000604,RepDonaldPayne,-0.29373,repdonaldpayne
rep,Democrat,Congress,Brian Higgins,M,H001038,RepBrianHiggins,-0.26485,repbrianhiggins
rep,Republican,Congress,Trent Kelly,M,K000388,RepTrentKelly,-0.26079,reptrentkelly
rep,Democrat,Congress,Jerry McNerney,M,M001166,RepMcNerney,-0.25807,repmcnerney
rep,Democrat,Congress,Ed Perlmutter,M,P000593,RepPerlmutter,-0.24359,repperlmutter
rep,Democrat,Congress,Robert A. Brady,M,B001227,RepBrady,-0.23487,repbrady
rep,Democrat,Congress,Ron Kind,M,K000188,RepRonKind,-0.23401,repronkind
rep,Democrat,Congress,Kurt Schrader,M,S001180,RepSchrader,-0.23281,repschrader
rep,Democrat,Congress,David Scott,M,S001157,repdavidscott,-0.231,repdavidscott
rep,Democrat,Congress,"Sanford D. Bishop, Jr.",M,B000490,SanfordBishop,-0.23001,sanfordbishop
rep,Democrat,Congress,Matt Cartwright,M,C001090,RepCartwright,-0.21783,repcartwright
rep,Democrat,Congress,"Al Lawson, Jr.",M,L000586,RepAlLawsonJr,-0.21414,repallawsonjr
rep,Democrat,Congress,Daniel Lipinski,M,L000563,RepLipinski,-0.19098,replipinski
rep,Democrat,Congress,Josh Gottheimer,M,G000583,RepJoshG,-0.18967,repjoshg
rep,Democrat,Congress,Michael F. Doyle,M,D000482,USRepMikeDoyle,-0.1747,usrepmikedoyle
rep,Democrat,Congress,Jim Costa,M,C001059,RepJimCosta,-0.16835,repjimcosta
rep,Democrat,Congress,Filemon Vela,M,V000132,RepFilemonVela,-0.15542,repfilemonvela
rep,Republican,Congress,Jason Smith,M,S001195,RepJasonSmith,-0.09469,repjasonsmith
rep,Democrat,Congress,Albio Sires,M,S001165,RepSires,-0.07957,repsires
rep,Democrat,Congress,J. Luis Correa,M,C001110,RepLouCorrea,-0.06614,reploucorrea
rep,Democrat,Congress,Gene Green,M,G000410,RepGeneGreen,-0.06586,repgenegreen
rep,Democrat,Congress,Vicente Gonzalez,M,G000581,RepGonzalez,-0.05551,repgonzalez
rep,Republican,Congress,Trey Hollingsworth,M,H001074,RepTrey,-0.04374,reptrey
rep,Democrat,Congress,David Loebsack,M,L000565,daveloebsack,-0.03911,daveloebsack
rep,Democrat,Congress,Henry Cuellar,M,C001063,RepCuellar,-0.03529,repcuellar
rep,Republican,Congress,Christopher H. Smith,M,S000522,RepChrisSmith,-0.02448,repchrissmith
rep,Republican,Congress,Ron DeSantis,M,D000621,RepDeSantis,0.11748,repdesantis
rep,Republican,Congress,John J. Faso,M,F000464,RepJohnFaso,0.18429,repjohnfaso
rep,Republican,Congress,Chris Collins,M,C001092,RepChrisCollins,0.19007,repchriscollins
rep,Republican,Congress,Thomas MacArthur,M,M001193,RepTomMacArthur,0.20896,reptommacarthur
rep,Democrat,Congress,Peter J. Visclosky,M,V000108,RepVisclosky,0.25548,repvisclosky
rep,Republican,Congress,Brian J. Mast,M,M001199,RepBrianMast,0.27003,repbrianmast
rep,Republican,Congress,Rodney P. Frelinghuysen,M,F000372,USRepRodney,0.27018,usreprodney
rep,Republican,Congress,Paul D. Ryan,M,R000570,SpeakerRyan,0.28615,speakerryan
rep,Republican,Congress,Stephen Knight,M,K000387,SteveKnight25,0.29986,steveknight25
rep,Republican,Congress,Mike Coffman,M,C001077,RepMikeCoffman,0.32135,repmikecoffman
rep,Republican,Congress,Brian K. Fitzpatrick,M,F000466,RepBrianFitz,0.32538,repbrianfitz
rep,Republican,Congress,Ralph Lee Abraham,M,A000374,RepAbraham,0.36529,repabraham
rep,Republican,Congress,Will Hurd,M,H001073,HurdOnTheHill,0.38158,hurdonthehill
rep,Republican,Congress,Leonard Lance,M,L000567,RepLanceNJ7,0.39837,replancenj7
rep,Republican,Congress,Jason Lewis,M,L000587,RepJasonLewis,0.4213,repjasonlewis
rep,Republican,Congress,Mike Gallagher,M,G000579,RepGallagher,0.4559,repgallagher
rep,Republican,Congress,David Kustoff,M,K000392,RepDavidKustoff,0.4758,repdavidkustoff
rep,Republican,Congress,David G. Valadao,M,V000129,RepDavidValadao,0.48364,repdavidvaladao
rep,Republican,Congress,Carlos Curbelo,M,C001107,RepCurbelo,0.50067,repcurbelo
rep,Republican,Congress,Andy Harris,M,H001052,RepAndyHarrisMD,0.52581,repandyharrismd
rep,Republican,Congress,Adam Kinzinger,M,K000378,RepKinzinger,0.52855,repkinzinger
rep,Republican,Congress,J. French Hill,M,H001072,RepFrenchHill,0.54641,repfrenchhill
rep,Republican,Congress,David A. Trott,M,T000475,repdavetrott,0.5539,repdavetrott
rep,Republican,Congress,Frank A. LoBiondo,M,L000554,RepLoBiondo,0.55826,replobiondo
rep,Republican,Congress,Ryan A. Costello,M,C001106,RepRyanCostello,0.58088,repryancostello
rep,Republican,Congress,Lloyd Smucker,M,S001199,RepSmucker,0.58719,repsmucker
rep,Republican,Congress,Doug LaMalfa,M,L000578,RepLaMalfa,0.59644,replamalfa
rep,Republican,Congress,Mark E. Amodei,M,A000369,MarkAmodeiNV2,0.59697,markamodeinv2
rep,Republican,Congress,"Daniel M. Donovan, Jr.",M,D000625,RepDanDonovan,0.60501,repdandonovan
rep,Republican,Congress,Erik Paulsen,M,P000594,RepErikPaulsen,0.60673,reperikpaulsen
rep,Republican,Congress,Chris Stewart,M,S001192,RepChrisStewart,0.60923,repchrisstewart
rep,Republican,Congress,Greg Walden,M,W000791,repgregwalden,0.61339,repgregwalden
rep,Republican,Congress,Gary J. Palmer,M,P000609,USRepGaryPalmer,0.61402,usrepgarypalmer
rep,Republican,Congress,John Katko,M,K000386,RepJohnKatko,0.61593,repjohnkatko
rep,Republican,Congress,Bruce Poliquin,M,P000611,RepPoliquin,0.61877,reppoliquin
rep,Republican,Congress,Paul Cook,M,C001094,RepPaulCook,0.61931,reppaulcook
rep,Republican,Congress,Scott R. Tipton,M,T000470,RepTipton,0.62509,reptipton
rep,Republican,Congress,Tom Emmer,M,E000294,RepTomEmmer,0.63073,reptomemmer
rep,Republican,Congress,Keith J. Rothfus,M,R000598,KeithRothfus,0.64903,keithrothfus
rep,Republican,Congress,Mike Bishop,M,B001293,RepMikeBishop,0.6556,repmikebishop
rep,Republican,Congress,Doug Lamborn,M,L000564,RepDLamborn,0.65838,repdlamborn
rep,Republican,Congress,David G. Reichert,M,R000578,davereichert,0.65942,davereichert
rep,Republican,Congress,Dan Newhouse,M,N000189,RepNewhouse,0.67675,repnewhouse
rep,Republican,Congress,Tom Rice,M,R000597,RepTomRice,0.67987,reptomrice
rep,Republican,Congress,Paul Mitchell,M,M001201,RepPaulMitchell,0.68144,reppaulmitchell
rep,Republican,Congress,Roger W. Marshall,M,M001198,RepMarshall,0.68978,repmarshall
rep,Republican,Congress,"F. James Sensenbrenner, Jr.",M,S000244,JimPressOffice,0.69445,jimpressoffice
rep,Republican,Congress,Darin LaHood,M,L000585,RepLaHood,0.69932,replahood
rep,Republican,Congress,Rick W. Allen,M,A000372,RepRickAllen,0.70136,reprickallen
rep,Republican,Congress,Ken Buck,M,B001297,RepKenBuck,0.70437,repkenbuck
rep,Republican,Congress,Jeff Denham,M,D000612,RepJeffDenham,0.70503,repjeffdenham
rep,Republican,Congress,Edward R. Royce,M,R000487,RepEdRoyce,0.70663,repedroyce
rep,Republican,Congress,Jack Bergman,M,B001301,RepJackBergman,0.71172,repjackbergman
rep,Republican,Congress,John R. Moolenaar,M,M001194,RepMoolenaar,0.71802,repmoolenaar
rep,Republican,Congress,Billy Long,M,L000576,USRepLong,0.74325,usreplong
rep,Republican,Congress,Rodney Davis,M,D000619,RodneyDavis,0.74528,rodneydavis
rep,Republican,Congress,Jodey C. Arrington,M,A000375,RepArrington,0.74642,reparrington
rep,Republican,Congress,Glenn Grothman,M,G000576,RepGrothman,0.7528,repgrothman
rep,Republican,Congress,Scott Taylor,M,T000477,RepScottTaylor,0.76853,repscotttaylor
rep,Republican,Congress,Francis Rooney,M,R000607,RepRooney,0.78795,reprooney
rep,Republican,Congress,Neal P. Dunn,M,D000628,DrNealDunnFL2,0.79201,drnealdunnfl2
rep,Republican,Congress,Tom Reed,M,R000585,RepTomReed,0.80392,reptomreed
rep,Republican,Congress,Don Young,M,Y000033,repdonyoung,0.81206,repdonyoung
rep,Republican,Congress,Mario Diaz-Balart,M,D000600,MarioDB,0.81672,mariodb
rep,Republican,Congress,Don Bacon,M,B001298,RepDonBacon,0.82356,repdonbacon
rep,Republican,Congress,David Young,M,Y000066,RepDavidYoung,0.8292,repdavidyoung
rep,Republican,Congress,Peter T. King,M,K000210,RepPeteKing,0.82981,reppeteking
rep,Republican,Congress,Mark Sanford,M,S000051,RepSanfordSC,0.83068,repsanfordsc
rep,Republican,Congress,A. Drew Ferguson IV,M,F000465,RepDrewFerguson,0.83084,repdrewferguson
rep,Republican,Congress,Ken Calvert,M,C000059,KenCalvert,0.83154,kencalvert
rep,Republican,Congress,Jim Banks,M,B001299,RepJimBanks,0.83307,repjimbanks
rep,Republican,Congress,"Thomas A. Garrett, Jr.",M,G000580,RepTomGarrett,0.83618,reptomgarrett
rep,Republican,Congress,Randy Hultgren,M,H001059,RepHultgren,0.83757,rephultgren
rep,Republican,Congress,Fred Upton,M,U000031,RepFredUpton,0.84002,repfredupton
rep,Republican,Congress,Dana Rohrabacher,M,R000409,RepRohrabacher,0.84617,reprohrabacher
rep,Republican,Congress,Garret Graves,M,G000577,RepGarretGraves,0.85835,repgarretgraves
rep,Republican,Congress,"John J. Duncan, Jr.",M,D000533,RepJohnDuncanJr,0.86177,repjohnduncanjr
rep,Republican,Congress,Barry Loudermilk,M,L000583,RepLoudermilk,0.87954,reploudermilk
rep,Republican,Congress,Ted Budd,M,B001305,RepTedBudd,0.88612,reptedbudd
rep,Republican,Congress,John H. Rutherford,M,R000609,RepRutherfordFL,0.89289,reprutherfordfl
rep,Republican,Congress,Michael K. Simpson,M,S001148,CongMikeSimpson,0.89396,congmikesimpson
rep,Republican,Congress,Alexander X. Mooney,M,M001195,RepAlexMooney,0.89858,repalexmooney
rep,Republican,Congress,Mike Bost,M,B001295,RepBost,0.90146,repbost
rep,Republican,Congress,Evan H. Jenkins,M,J000297,RepEvanJenkins,0.91575,repevanjenkins
rep,Republican,Congress,Stevan Pearce,M,P000588,RepStevePearce,0.91774,repstevepearce
rep,Republican,Congress,Blaine Luetkemeyer,M,L000569,RepBlaine,0.91782,repblaine
rep,Republican,Congress,Rob Woodall,M,W000810,RepRobWoodall,0.92164,reprobwoodall
rep,Republican,Congress,"Earl L. ""Buddy"" Carter",M,C001103,RepBuddyCarter,0.92765,repbuddycarter
rep,Republican,Congress,Doug Collins,M,C001093,RepDougCollins,0.9285,repdougcollins
rep,Republican,Congress,Kevin Yoder,M,Y000063,RepKevinYoder,0.92861,repkevinyoder
rep,Republican,Congress,Tom Cole,M,C001053,TomColeOK04,0.93577,tomcoleok04
rep,Republican,Congress,Walter B. Jones,M,J000255,RepWalterJones,0.94031,repwalterjones
rep,Republican,Congress,Rob Bishop,M,B001250,RepRobBishop,0.94338,reprobbishop
rep,Republican,Congress,Steve Russell,M,R000604,RepRussell,0.94549,reprussell
rep,Republican,Congress,Peter J. Roskam,M,R000580,PeterRoskam,0.96404,peterroskam
rep,Republican,Congress,David Schweikert,M,S001183,RepDavid,0.96474,repdavid
rep,Republican,Congress,Frank D. Lucas,M,L000491,RepFrankLucas,0.96552,repfranklucas
rep,Republican,Congress,Bruce Westerman,M,W000821,RepWesterman,0.97058,repwesterman
rep,Republican,Congress,Harold Rogers,M,R000395,RepHalRogers,0.97358,rephalrogers
rep,Republican,Congress,Adrian Smith,M,S001172,RepAdrianSmith,0.98186,repadriansmith
rep,Republican,Congress,Bill Huizenga,M,H001058,RepHuizenga,0.98537,rephuizenga
rep,Republican,Congress,Brian Babin,M,B001291,RepBrianBabin,0.99238,repbrianbabin
rep,Republican,Congress,David Rouzer,M,R000603,RepDavidRouzer,0.99259,repdavidrouzer
rep,Republican,Congress,Larry Bucshon,M,B001275,RepLarryBucshon,0.99296,replarrybucshon
rep,Republican,Congress,Brett Guthrie,M,G000558,RepGuthrie,0.99469,repguthrie
rep,Republican,Congress,Luke Messer,M,M001189,RepLukeMesser,0.99866,replukemesser
rep,Republican,Congress,Tim Walberg,M,W000798,RepWalberg,1.00235,repwalberg
rep,Republican,Congress,Brad R. Wenstrup,M,W000815,RepBradWenstrup,1.00683,repbradwenstrup
rep,Republican,Congress,Austin Scott,M,S001189,AustinScottGA08,1.01171,austinscottga08
rep,Republican,Congress,David B. McKinley,M,M001180,RepMcKinley,1.01993,repmckinley
rep,Republican,Congress,Tom McClintock,M,M001177,RepMcClintock,1.02427,repmcclintock
rep,Republican,Congress,Michael R. Turner,M,T000463,RepMikeTurner,1.02635,repmiketurner
rep,Republican,Congress,George Holding,M,H001065,RepHolding,1.03,repholding
rep,Republican,Congress,Steve Stivers,M,S001187,RepSteveStivers,1.03466,repstevestivers
rep,Republican,Congress,Andy Barr,M,B001282,RepAndyBarr,1.03704,repandybarr
rep,Republican,Congress,Kevin Cramer,M,C001096,RepKevinCramer,1.04084,repkevincramer
