chamber,party,type,name,gender,bioid,screen_name,phi,merge
rep,Republican,Congress,John R. Carter,M,C001051,JudgeCarter,1.42563,judgecarter
rep,Republican,Congress,Mike Kelly,M,K000376,MikeKellyPA,1.4394,mikekellypa
rep,Republican,Congress,Ralph Norman,M,N000190,RepRalphNorman,1.46045,repralphnorman
rep,Republican,Congress,Paul A. Gosar,M,G000565,RepGosar,1.48373,repgosar
rep,Republican,Congress,Thomas Massie,M,M001184,RepThomasMassie,1.48533,repthomasmassie
rep,Republican,Congress,Steve King,M,K000362,SteveKingIA,1.57473,stevekingia
rep,Republican,Congress,Lee M. Zeldin,M,Z000017,RepLeeZeldin,1.5752,repleezeldin
rep,Republican,Congress,Sean P. Duffy,M,D000614,RepSeanDuffy,1.60282,repseanduffy
rep,Republican,Congress,Bob Goodlatte,M,G000289,RepGoodlatte,1.68244,repgoodlatte
rep,Republican,Congress,John Ratcliffe,M,R000601,RepRatcliffe,1.76007,repratcliffe
rep,Republican,Congress,Trey Gowdy,M,G000566,TGowdySC,1.79078,tgowdysc
rep,Republican,Congress,Warren Davidson,M,D000626,WarrenDavidson,1.80395,warrendavidson
rep,Republican,Congress,Andy Biggs,M,B001302,RepAndyBiggsAZ,1.81091,repandybiggsaz
rep,Republican,Congress,Mark Meadows,M,M001187,RepMarkMeadows,1.82791,repmarkmeadows
rep,Republican,Congress,Darrell E. Issa,M,I000056,DarrellIssa,1.86363,darrellissa
rep,Republican,Congress,Jeff Duncan,M,D000615,RepJeffDuncan,1.92986,repjeffduncan
rep,Republican,Congress,Devin Nunes,M,N000181,RepDevinNunes,2.13097,repdevinnunes
rep,Republican,Congress,Jim Jordan,M,J000289,Jim_Jordan,2.13851,jim_jordan
rep,Republican,Congress,Louie Gohmert,M,G000552,replouiegohmert,2.32786,replouiegohmert
rep,Republican,Congress,Matt Gaetz,M,G000578,RepMattGaetz,2.4975,repmattgaetz
sen,Democrat,Congress,Kamala D. Harris,F,H001075,SenKamalaHarris,-1.90953,senkamalaharris
sen,Democrat,Congress,Tammy Duckworth,F,D000622,SenDuckworth,-1.67331,senduckworth
sen,Democrat,Congress,Dianne Feinstein,F,F000062,SenFeinstein,-1.6433,senfeinstein
sen,Democrat,Congress,Tina Smith,F,S001203,SenTinaSmith,-1.64252,sentinasmith
sen,Democrat,Congress,Kirsten E. Gillibrand,F,G000555,SenGillibrand,-1.60407,sengillibrand
sen,Democrat,Other Politicians,Elizabeth Warren,F,W000817,SenWarren,-1.51355,senwarren
sen,Democrat,Congress,Patty Murray,F,M001111,PattyMurray,-1.51175,pattymurray
sen,Democrat,Congress,Margaret Wood Hassan,F,H001076,SenatorHassan,-1.49597,senatorhassan
